user;cell hashcode;novelty;outlierness;relevance;surprise;query label
dibstudent04;1432955538;false;0.2982447717109067;0.0;-2.9571121542908045;0;
dibstudent04;1081248747;false;0.13547977538786826;0.0;-3.095741590402793;0;
dibstudent04;374618830;false;0.13444501575923673;0.0;-2.9571121542908045;0;
dibstudent04;996035468;false;0.29659388914689744;0.0;-3.095741590402793;0;
dibstudent03;-1050909961;true;0.41720118635513503;1.0;-2.245048678503689;0;
dibstudent03;-1512832480;true;0.29500057843984506;1.0;-2.245048678503689;0;
dibstudent03;596126664;true;0.4283303742348382;1.0;-2.245048678503689;0;
dibstudent03;-1050917424;true;0.2850379421808138;1.0;-2.245048678503689;0;
dibstudent03;-1050928846;true;0.02733027546268174;1.0;-2.245048678503689;0;
dibstudent03;1711713531;true;0.21582877967133118;1.0;-2.245048678503689;0;
