user;cell hashcode;novelty;outlierness;relevance;surprise;query label
dibstudent04;184337257;false;0.06491413429059723;1.0;-3.053268688044347;0;
dibstudent04;116209414;false;0.4152751131649318;1.0;-3.053268688044347;0;
dibstudent04;-1773381897;false;0.3102249152704797;1.0;-3.053268688044347;0;
dibstudent04;327644794;false;0.07397765961227964;1.0;-3.053268688044347;0;
dibstudent04;257299508;false;0.2962140417150032;1.0;-3.053268688044347;0;
dibstudent04;-1837462334;false;0.4261769559220675;1.0;-3.053268688044347;0;
dibstudent03;1301674565;true;0.4804028635857647;1.0;-2.407234721746955;0;
dibstudent03;1237594128;true;0.2605011465012319;1.0;-2.407234721746955;0;
dibstudent03;-1103701420;true;0.2378832752466169;1.0;-2.407234721746955;0;
dibstudent03;-892266040;true;0.12963855072177055;1.0;-2.407234721746955;0;
dibstudent03;-962611326;true;0.3227674836001082;1.0;-2.407234721746955;0;
dibstudent03;-1035573577;true;0.053670596739093024;1.0;-2.407234721746955;0;
