session ;user;query position;cell hashcode;novelty;outlierness;relevance;surprise;query label;session label
dibstudent04--2016-09-25--11-53.log;dibstudent04;1;-1584483483;false;0.25912679040062736;0.0;Infinity;1;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;1;2089067175;false;0.13532778190852512;0.0;Infinity;1;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;1;-1499270204;false;0.15310621355409104;0.0;Infinity;1;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;1;-1147563413;false;0.28512358662819315;0.0;Infinity;1;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;2;-718126148;false;0.23975006109347663;0.0;Infinity;1;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;2;-1776462856;false;0.23975006109347663;0.0;Infinity;1;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;3;1432955538;false;0.2982447717109067;0.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;3;1081248747;false;0.13547977538786826;0.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;3;374618830;false;0.13444501575923673;0.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;3;996035468;false;0.29659388914689744;0.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;-1973183755;false;0.12061126070459416;1.0;3.189935399866671;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;-2116491292;false;0.08362079955457502;1.0;3.189935399866671;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;2110348161;false;0.4853147938879465;1.0;3.189935399866671;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;156676413;false;0.3421528588078273;1.0;3.189935399866671;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;-2043529041;false;0.13101950521479155;1.0;3.189935399866671;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;5;220756850;false;0.29369439839142375;1.0;3.189935399866671;0;B;
